trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.9, 'e': 0.00319921768850888}",25,15,16.835114559618873,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.9, 'e': 0.003039256804083436}",20,3,29.35276886143395,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.0028872939638792637}",20,8,19.97375259630855,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.9, 'e': 0.0027429292656853004}",25,8,26.950634264499396,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 0.0026057828024010354}",25,14,21.567265273038696,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.9, 'e': 0.0024754936622809836}",30,13,30.77105966565766,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 0.002351718979166934}",25,17,14.09906536576208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 0.0022341330302085875}",25,1,37.98130379282944,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.002122426378698158}",20,4,1.9355184747013,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.0020163050597632503}",20,7,21.405106445258724,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 0.0019154898067750877}",20,6,25.516581105782766,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.9, 'e': 0.0018197153164363333}",35,22,23.25786319222195,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.0017287295506145165}",20,9,19.16418032992616,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 0.0016422930730837905}",30,17,27.816445283334655,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9, 'e': 0.0015601784194296008}",20,14,11.119754888961623,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 0.0014821694984581207}",20,12,12.749789980309341,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.0014080610235352145}",25,13,19.561612457812057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.0013376579723584536}",25,14,21.632220493048752,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.0012707750737405309}",20,6,24.153421069413227,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 0.0012072363200535043}",25,14,20.588209014854435,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.001146874504050829}",25,11,26.291946763391685,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.9, 'e': 0.0010895307788482875}",20,4,27.281230844030066,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.001035054239905873}",30,20,17.44231973279121,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 0.0009833015279105794}",25,12,23.349068605195885,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.0009341364515150504}",25,17,13.011914011488203,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.9, 'e': 0.0008874296289392978}",30,19,20.065155270748598,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.9, 'e': 0.0008430581474923328}",25,15,17.435664980766845,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 0.0008009052401177162}",20,9,17.77553313542267,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.0007608599781118304}",30,11,33.474348114321074,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
